Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220,EMA_Cross,Target_Reached,Predicted_Close,Probability,Confidence,Signal,Daily_Return,Strategy_Return,Cumulative_Returns
2024-10-29,01:00:00,0.63,0.62,0.64,0.64,0.01,0.62,0.64,0.67,-0.02,1,0.64,1.0,1.0,0,0.015873015873015817,0.0,1.0
2024-10-29,01:30:00,0.64,0.64,0.65,0.66,0.01,0.63,0.64,0.67,-0.02,1,0.66,0.99,0.99,0,0.03125,0.0,1.0
2024-10-29,02:00:00,0.66,0.67,0.67,0.69,0.02,0.63,0.64,0.67,-0.01,1,0.68,0.91,0.91,0,0.045454545454545414,0.0,1.0
2024-10-29,02:30:00,0.69,0.68,0.68,0.7,0.02,0.64,0.65,0.67,-0.01,1,0.69,0.79,0.79,0,0.01449275362318847,0.0,1.0
2024-10-29,03:00:00,0.7,0.68,0.68,0.67,0.02,0.64,0.65,0.67,-0.0,0,0.68,0.3,0.3,0,-0.042857142857142705,-0.0,1.0
2024-10-29,03:30:00,0.67,0.65,0.62,0.67,0.06,0.65,0.65,0.67,0.0,1,0.64,0.62,0.62,0,0.0,0.0,1.0
2024-10-29,04:00:00,0.67,0.67,0.66,0.67,0.05,0.66,0.65,0.67,0.01,0,0.68,0.83,0.83,1,0.0,0.0,1.0
2024-10-29,04:30:00,0.67,0.65,0.63,0.65,0.05,0.66,0.65,0.67,0.01,1,0.65,0.81,0.81,0,-0.02985074626865669,-0.02985074626865669,0.9701492537313433
2024-10-29,05:00:00,0.65,0.64,0.65,0.65,0.02,0.67,0.65,0.67,0.01,1,0.65,0.95,0.95,0,0.0,0.0,0.9701492537313433
2024-10-29,05:30:00,0.66,0.63,0.63,0.64,0.02,0.67,0.65,0.67,0.01,1,0.64,0.87,0.87,0,-0.015384615384615441,-0.0,0.9701492537313433
2024-10-29,06:00:00,0.64,0.64,0.64,0.65,0.02,0.66,0.65,0.67,0.01,1,0.65,0.94,0.94,0,0.015625,0.0,0.9701492537313433
2024-10-29,06:30:00,0.65,0.63,0.62,0.62,0.04,0.66,0.65,0.67,0.0,0,0.63,0.34,0.34,0,-0.04615384615384621,-0.0,0.9701492537313433
2024-10-29,07:00:00,0.62,0.63,0.62,0.63,0.03,0.65,0.65,0.67,-0.0,0,0.64,0.85,0.85,1,0.016129032258064502,0.0,0.9701492537313433
2024-10-29,07:30:00,0.62,0.61,0.59,0.62,0.07,0.64,0.65,0.67,-0.01,1,0.61,0.98,0.98,0,-0.015873015873015928,-0.015873015873015928,0.9547500592276711
2024-10-29,08:00:00,0.62,0.61,0.62,0.62,0.04,0.64,0.65,0.66,-0.01,1,0.62,0.94,0.94,0,0.0,0.0,0.9547500592276711
2024-10-29,08:30:00,0.62,0.62,0.62,0.65,0.08,0.63,0.65,0.66,-0.02,1,0.64,0.96,0.96,0,0.048387096774193505,0.0,0.9547500592276711
2024-10-29,09:00:00,0.65,0.64,0.55,0.65,0.57,0.63,0.65,0.66,-0.02,1,0.62,0.71,0.71,0,0.0,0.0,0.9547500592276711
2024-10-29,09:30:00,0.65,0.75,0.63,0.69,0.53,0.64,0.66,0.66,-0.02,0,0.7,0.3,0.3,0,0.06153846153846132,0.0,0.9547500592276711
2024-10-29,10:00:00,0.69,0.75,0.7,0.76,0.34,0.65,0.66,0.67,-0.01,1,0.75,0.84,0.84,0,0.10144927536231885,0.0,0.9547500592276711
2024-10-29,10:30:00,0.76,0.76,0.73,0.76,0.29,0.66,0.67,0.67,-0.01,1,0.76,0.83,0.83,0,0.0,0.0,0.9547500592276711
2024-10-29,11:00:00,0.76,0.78,0.75,0.79,0.26,0.69,0.68,0.67,0.01,1,0.78,0.89,0.89,0,0.03947368421052633,0.0,0.9547500592276711
2024-10-29,11:30:00,0.79,0.8,0.79,0.78,0.27,0.7,0.69,0.68,0.02,0,0.8,0.59,0.59,0,-0.012658227848101222,-0.0,0.9547500592276711
2024-10-29,12:00:00,0.78,0.82,0.75,0.83,0.27,0.73,0.7,0.68,0.03,1,0.82,0.9,0.9,0,0.0641025641025641,0.0,0.9547500592276711
2024-10-29,12:30:00,0.83,0.86,0.83,0.85,0.29,0.76,0.7,0.69,0.05,0,0.85,0.22,0.22,0,0.024096385542168752,0.0,0.9547500592276711
2024-10-29,13:00:00,0.85,0.86,0.85,0.86,0.18,0.78,0.71,0.7,0.07,0,0.85,0.17,0.17,0,0.0117647058823529,0.0,0.9547500592276711
2024-10-29,13:30:00,0.86,0.88,0.85,0.89,0.16,0.81,0.72,0.71,0.09,1,0.88,0.67,0.67,0,0.03488372093023262,0.0,0.9547500592276711
2024-10-29,14:00:00,0.89,0.9,0.89,0.89,0.19,0.83,0.74,0.71,0.1,0,0.9,0.21,0.21,0,0.0,0.0,0.9547500592276711
2024-10-29,14:30:00,0.89,0.94,0.89,0.95,0.25,0.86,0.75,0.72,0.11,1,0.93,0.6,0.6,0,0.0674157303370786,0.0,0.9547500592276711
2024-10-29,15:00:00,0.95,0.94,0.88,0.89,0.42,0.87,0.76,0.73,0.11,0,0.91,0.23,0.23,0,-0.06315789473684208,-0.0,0.9547500592276711
2024-10-29,15:30:00,0.89,0.96,0.89,0.91,0.24,0.89,0.78,0.74,0.11,0,0.92,0.1,0.1,0,0.022471910112359605,0.0,0.9547500592276711
2024-10-29,16:00:00,0.91,0.9,0.9,0.9,0.03,0.9,0.79,0.75,0.11,0,0.9,0.16,0.16,0,-0.01098901098901095,-0.0,0.9547500592276711
2024-10-29,17:30:00,0.94,0.93,0.93,0.94,0.02,0.92,0.81,0.76,0.11,1,0.93,0.85,0.85,0,0.04444444444444429,0.0,0.9547500592276711
2024-10-29,18:00:00,0.94,0.97,0.95,0.96,0.02,0.93,0.83,0.76,0.1,0,0.95,0.81,0.81,0,0.02127659574468077,0.0,0.9547500592276711
2024-10-29,18:30:00,0.96,0.95,0.94,0.96,0.02,0.94,0.84,0.77,0.1,1,0.95,0.9,0.9,0,0.0,0.0,0.9547500592276711
