Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220
2024-10-30,08:00:00,20712.25,20720.5,20674,20688.25,13392,20725.1944444444,20731.8095238095,20575.1666666667
2024-10-30,08:30:00,20689,20689,20639.75,20661.5,17371,20718.4166666667,20727.1785714286,20575.6775147929
2024-10-30,09:00:00,20661.25,20669.25,20542.75,20632.5,74746,20705.7777777778,20722.1547619048,20576.0117647059
2024-10-30,09:30:00,20631.75,20699.5,20628.75,20689.5,41110,20701.1944444444,20720.25,20576.6754385965
2024-10-30,10:00:00,20689.75,20692.75,20629.25,20650.5,30536,20691.3333333333,20716.8571428571,20577.1046511628
2024-10-30,10:30:00,20650,20683.75,20607.75,20682.75,29613,20685.6944444444,20715.0357142857,20577.7153179191
2024-10-30,11:00:00,20682.75,20685.75,20640.75,20672,24138,20678.1666666667,20712.6904761905,20578.257183908
2024-10-30,11:30:00,20671.5,20682.75,20636.5,20650,18694,20670.9722222222,20709.6785714286,20578.6671428571
2024-10-30,12:00:00,20650,20669.25,20637.25,20644.75,15363,20663.5277777778,20704.9285714286,20579.0426136364
2024-10-30,12:30:00,20644.5,20653.75,20615.75,20618.75,15485,20655.8055555556,20698.8571428571,20579.2669491525
2024-10-30,13:00:00,20619.75,20628,20558,20576.5,29444,20646.3611111111,20690.5,20579.2514044944
2024-10-30,13:30:00,20576,20620.25,20575.25,20595.5,18116,20642.25,20683.4285714286,20579.3421787709
2024-10-30,14:00:00,20595.5,20622.25,20593.25,20604.75,13807,20632.8333333333,20676.4642857143,20579.4833333333
2024-10-30,14:30:00,20604.75,20605,20561,20571.75,24319,20624.0833333333,20669.2857142857,20579.4406077348
2024-10-30,15:00:00,20571.5,20584.75,20514.75,20534.5,36308,20607.6111111111,20659.2023809524,20579.1936813187
2024-10-30,15:30:00,20534.5,20588.75,20472.5,20543,29050,20593.2777777778,20650.2619047619,20578.9959016393
2024-10-30,16:00:00,20542,20556,20495.75,20507,6353,20577.3888888889,20639.2023809524,20578.6046195652
2024-10-30,17:30:00,20482,20495.75,20426.75,20450.25,7617,20555.7777777778,20625.7142857143,20577.9108108108
2024-10-30,18:00:00,20450.25,20461.25,20430.25,20439,2691,20535.8055555556,20611.3928571428,20577.1639784946
2024-10-30,18:30:00,20437,20447.5,20429,20437.5,2032,20520.3611111111,20598.1904761905,20576.4171122995
2024-10-30,19:00:00,20438.5,20444,20423,20426.5,2526,20501.5833333333,20584.6071428571,20575.6196808511
2024-10-30,19:30:00,20425,20441.75,20401,20428,3500,20481.9444444444,20572.2142857143,20574.8386243386
2024-10-30,20:00:00,20429,20443.25,20422.5,20437.25,1521,20467,20561.5357142857,20574.1144736842
2024-10-30,20:30:00,20437.5,20463.75,20437,20455.75,2474,20458.25,20553.119047619,20573.4947643979
2024-10-30,21:00:00,20456.5,20459.75,20438,20441.75,1787,20447,20541.3214285714,20572.80859375
2024-10-30,21:30:00,20441,20446.75,20423.75,20435.25,1808,20439.0277777778,20531.0714285714,20572.0958549223
2024-10-30,22:00:00,20436.75,20444.25,20430,20433.25,1520,20437.1388888889,20519.1904761905,20571.3801546392
2024-10-30,22:30:00,20434,20441.5,20421,20428,1806,20435.9166666667,20507.5714285714,20570.6448717949
2024-10-30,23:00:00,20429,20437,20418,20421.75,1145,20434.1666666667,20496.7023809524,20569.8852040816
2024-10-30,23:30:00,20422.25,20424.75,20407,20411.75,1414,20432.5277777778,20485.6071428571,20569.0824873096
2024-10-31,00:00:00,20412.5,20417.5,20403,20408.75,1274,20430.3888888889,20475.6071428571,20568.2727272727
2024-10-31,00:30:00,20408.75,20411.25,20384,20392.5,2945,20425.4166666667,20466.8452380952,20567.3894472362
2024-10-31,01:00:00,20392.25,20404,20391.25,20392,1425,20418.3333333333,20457.1547619047,20566.5125
2024-10-31,01:30:00,20392.5,20396.75,20374.25,20379,2364,20411.3611111111,20446.4047619047,20565.57960199
2024-10-31,02:00:00,20378.25,20382.75,20353.5,20358.75,3421,20402.8611111111,20436.2619047619,20564.5556930693
2024-10-31,02:30:00,20359.25,20359.25,20307.75,20335,6112,20391.9444444444,20426.7619047619,20563.4248768473
2024-10-31,03:00:00,20335.75,20347.25,20307.25,20321,4372,20380.0555555556,20416.1904761905,20562.2365196078
2024-10-31,03:30:00,20319.75,20325,20294.75,20310.25,6926,20367.6666666667,20406.8214285714,20561.0073170732
2024-10-31,04:00:00,20309.5,20334,20287,20318,5556,20357.25,20400.5238095238,20559.8276699029
2024-10-31,04:30:00,20317.5,20322.75,20305.75,20315.75,3074,20346.9166666667,20394.6547619047,20558.6485507246
2024-10-31,05:00:00,20315,20332,20309.75,20320.75,3074,20338.9444444444,20389.0952380952,20557.5048076923
